n_qubits,window,seed,mae,rmse,wape,smape
4,7,11,472.15157898175795,562.7348755630402,0.21802680390741053,0.24354896650156657
4,7,17,447.42802048447857,543.6560867051668,0.20661013459963298,0.2328143663787811
4,7,23,432.6911259465327,510.8613841017287,0.1998050360705586,0.2247687564090216
4,9,3,469.34413781333507,552.3549708435914,0.21673040365724217,0.242626934406803
4,9,7,453.8629803275463,533.5268270460991,0.2095816246683145,0.2346890291381654
4,9,11,445.58264117969867,519.8218195792921,0.2057579884463029,0.22915504396558495
4,9,17,451.1708896569076,530.8954798285531,0.20833849015203454,0.23445247197147837
4,9,23,437.0612560493272,517.8453025331542,0.20182304372188672,0.2265494279928086
5,3,3,480.9301325753413,564.5743145643228,0.2220805020588951,0.24963304810667894
5,3,7,560.646298608114,645.4451791543322,0.25889126723172406,0.291828125996185
5,3,11,482.52870491014386,578.0172523106861,0.22281867944193692,0.24823882997713262
5,3,17,518.7625115649511,601.4467552850473,0.23955046942214556,0.26920856341744687
5,3,23,435.6354993390293,520.1721610707849,0.20116466791095292,0.2260006668888548
5,5,3,460.827127249249,529.5378571443915,0.21279747898898624,0.23740302501387056
5,5,7,429.11555901059216,527.0040021932161,0.1981539361570915,0.22314035032075885
5,5,11,463.8885039700639,551.5903200745308,0.21421113979561804,0.2401589633510911
5,5,17,453.76121726114053,534.914584300807,0.20953463324201851,0.23499534041556527
5,5,23,471.3622536620257,551.9180219544482,0.21766231486540508,0.24169413268224252
5,7,3,456.192958169844,549.8692732383969,0.2106575452936925,0.23718097851115338
5,7,7,464.8295599796484,545.2177442174575,0.21464569395830888,0.2400878993081213
5,7,11,416.7387462395745,497.1697284875377,0.19243865942997573,0.2165838861319848
5,7,17,470.61441229287175,561.4457834358693,0.21731698198756524,0.24334044588825204
5,7,23,459.61059067277705,547.3328524390008,0.212235715366006,0.23622355764980402
5,9,3,461.31543161980005,541.180372229609,0.21302296471430113,0.23735002609209285
5,9,7,466.87501477764715,548.5366316146999,0.2155902295523791,0.24251912190598462
5,9,11,440.31560210372965,528.89863261835,0.20332581253731724,0.22850159734244488
5,9,17,438.76477383878245,521.6982033809929,0.20260968207187455,0.2273742372542583
5,9,23,452.702658779255,531.9166697958839,0.20904581962192575,0.23399559992130764
6,3,3,481.5731520438998,578.742306103764,0.22237743102370428,0.24779380266603926
6,3,7,439.07857580155365,511.6029921799169,0.20275458731427662,0.22424022068341604
6,3,11,482.888230451304,580.5234839167105,0.22298469859373407,0.24931315557380102
6,3,17,480.10555308276184,564.9385919099399,0.22169973359525383,0.24693415386424505
6,3,23,492.7148998389844,583.9164701379664,0.22752238821508664,0.25700765462435105
6,5,3,472.97220764214177,560.4918808400384,0.21840574798381104,0.243554254004887
6,5,7,445.6719898328893,516.3348507263613,0.2057992472330057,0.23078072106340974
6,5,11,469.89863763349575,548.32787867941,0.2169864566472959,0.24415916367526858
